S.No,Field,Place Holder,Comments,Conditions
1,Full Name,{{full_name}},,
2,Father's Name,{{father_name}},,
3,NRIC/FIN No,{{nric_fin}},,
4,Date Of Birth,{{dob}},,
5,Nationality,{{nationality}},,
6,Mobile,{{mobile}},,
7,Emergency Contact,{{emergency_contact}},,
8,Current Address,{{current_address}},,
9,Permanent Address,{{permanent_address}},,
10,Email,{{email}},,
11,Designation / Job Title,{{designation}},,
12,Probation Period (months),{{probation_period}},,
13,Probation Notice (months),{{probation_notice}},New,
14,Contract Duration,{{contract_duration}},,
15,Monthly Salary,{{salary}},Must be in text too,
16,Allowance (YES/NO),{{allowance}},New,"If Yes then, this will be printed .""In addition, you may claim mobile reimbursement of up to S$50 per month, subject to submission of official receipts and approval by your reporting manager. Please note this is a reimbursable claim, not a fixed allowance, and may vary depending on project requirements."""
17,Working Hours,{{working_hours}},New,
18,Paid Leave (days/year),{{annual_leave}},,
19,Medical Leave (days/year),{{medical_leave}},,
20,Lock-in Period Penalty,{{lock_in_period}},New,
21,Notice Period for Termination,{{notice_period}},,
22,Employment Start Date,{{employment_start_date}},,
23,Offer Validity Date,{{offer_validity}},,
24,Penalty Amount,{{penalty_amount}},,
25,Lock-in Period,{{lock_in_penalty}},New,
